Link,0-deg,45-deg,90-deg
1,641.1776275819426,287.8953883482403,-18.455341511391524
2,-228.53815129424802,130.48334164803197,142.3641520622339
3,-466.2345087154082,-420.75103590877677,-62.91966805132097
4,713.9727567437254,639.4863458040358,133.46843854303785
5,387.0803624383834,425.9229554277031,142.36885753478913
